iter	Logloss
0	0.6870365289
1	0.6814786868
2	0.6760158993
3	0.6706822749
4	0.6658506359
5	0.6612587317
6	0.6572461243
7	0.6533340697
8	0.6494779125
9	0.6461093565
10	0.6428658024
11	0.6398100236
12	0.6367501534
13	0.6339805192
14	0.6313956717
15	0.6286653716
16	0.6258236675
17	0.6238566527
18	0.6217652248
19	0.6198093375
20	0.6178759426
21	0.6160787379
22	0.6144640078
23	0.6128842242
24	0.6113152022
25	0.6100038281
26	0.6086596653
27	0.6073068059
28	0.6062154337
29	0.6051285709
30	0.6040253494
31	0.6030178929
32	0.6018932836
33	0.6009395227
34	0.5998223524
35	0.5989287528
36	0.5981061383
37	0.5972877038
38	0.5964145228
39	0.5956726863
40	0.5948405492
41	0.5941357485
42	0.5935291041
43	0.5929368149
44	0.5924028033
45	0.5919478615
46	0.5912612585
47	0.590707999
48	0.5902224417
49	0.5896426776
50	0.5890955086
51	0.5887418102
52	0.5882727217
53	0.5879481286
54	0.5875510834
55	0.5871279148
56	0.5867531084
57	0.5864166553
58	0.5860729739
59	0.5857770912
60	0.5854295379
61	0.5851864343
62	0.5849764336
63	0.5846404127
64	0.584379577
65	0.5841035013
66	0.5837764584
67	0.5835335642
68	0.5832980524
69	0.5830615538
70	0.582832732
71	0.582621875
72	0.5824086858
73	0.5821214303
74	0.5819554673
75	0.5817388591
76	0.5815529627
77	0.5813143156
78	0.5811255593
79	0.5809649587
80	0.5807905603
81	0.580624881
82	0.5804543179
83	0.5802786186
84	0.580117503
85	0.5799824404
86	0.5798509835
87	0.5797166627
88	0.5795750382
89	0.5794616426
90	0.5793071908
91	0.5791623008
92	0.5790386574
93	0.5789343248
94	0.5787045722
95	0.5785750704
96	0.5784612059
97	0.5783548739
98	0.5782164683
99	0.5781079
100	0.5780091075
101	0.577915288
102	0.577793856
103	0.5776303032
104	0.5775331528
105	0.5774262615
106	0.5772991645
107	0.5771984953
108	0.5770790115
109	0.5769753684
110	0.5768844121
111	0.5767742872
112	0.5766812184
