iter	Passed	Remaining
0	9	8994
1	16	8045
2	25	8400
3	35	8748
4	47	9524
5	60	10086
6	69	9905
7	80	9979
8	87	9682
9	98	9748
10	106	9559
11	115	9499
12	124	9467
13	134	9479
14	145	9535
15	155	9553
16	164	9529
17	176	9648
18	191	9886
19	206	10121
20	222	10362
21	236	10519
22	249	10589
23	265	10809
24	276	10796
25	285	10704
26	295	10634
27	304	10573
28	312	10470
29	319	10330
30	325	10184
31	332	10068
32	339	9947
33	345	9826
34	352	9721
35	359	9617
36	366	9551
37	376	9526
38	385	9488
39	395	9485
40	408	9543
41	419	9572
42	428	9536
43	439	9552
44	451	9589
45	462	9593
46	470	9547
47	477	9470
48	485	9423
49	492	9349
50	499	9290
51	505	9220
52	512	9158
53	518	9088
54	525	9026
55	532	8981
56	539	8921
57	546	8879
58	553	8824
59	561	8793
60	570	8775
61	580	8789
62	593	8828
63	601	8802
64	613	8828
65	622	8805
66	634	8839
67	642	8808
68	653	8812
69	663	8818
70	670	8775
71	678	8744
72	684	8697
73	692	8660
74	699	8628
75	706	8584
76	712	8546
77	720	8510
78	726	8473
79	733	8432
80	740	8405
81	747	8365
82	753	8327
83	761	8299
84	769	8280
85	779	8283
86	787	8267
87	799	8285
88	812	8317
89	825	8344
90	833	8326
91	844	8331
92	854	8330
93	863	8318
94	871	8298
95	877	8265
96	884	8232
97	892	8211
98	899	8183
99	906	8154
100	913	8133
101	921	8108
102	927	8080
103	935	8056
104	941	8029
105	948	8002
106	955	7974
107	962	7948
108	969	7926
109	977	7912
110	988	7913
111	996	7903
112	1009	7923
113	1020	7929
114	1033	7953
115	1045	7965
116	1057	7977
117	1065	7961
118	1074	7958
119	1082	7937
120	1089	7913
121	1096	7888
122	1103	7866
123	1109	7840
124	1117	7820
125	1123	7794
126	1130	7772
127	1137	7747
128	1143	7723
129	1151	7703
130	1157	7678
131	1164	7657
132	1171	7634
133	1180	7628
134	1189	7622
135	1200	7627
136	1210	7624
137	1221	7632
138	1233	7638
139	1242	7631
140	1253	7635
141	1262	7628
142	1270	7614
143	1281	7617
144	1286	7583
145	1293	7565
146	1300	7545
147	1307	7528
148	1315	7516
149	1322	7494
150	1329	7477
151	1336	7457
152	1343	7439
153	1350	7418
154	1356	7397
155	1364	7380
156	1370	7358
157	1378	7347
158	1387	7340
159	1399	7346
160	1409	7345
161	1418	7336
162	1428	7333
163	1435	7320
164	1447	7325
165	1459	7331
166	1468	7324
167	1478	7319
168	1484	7300
169	1492	7288
170	1499	7269
171	1506	7253
172	1513	7233
173	1519	7214
174	1526	7197
175	1533	7178
176	1540	7163
177	1546	7144
178	1553	7127
179	1560	7108
180	1567	7090
181	1576	7083
182	1586	7082
183	1595	7075
184	1605	7074
185	1615	7069
186	1625	7068
187	1637	7071
188	1648	7072
189	1658	7070
190	1667	7061
191	1674	7048
192	1681	7031
193	1688	7016
194	1696	7003
195	1703	6988
196	1710	6972
197	1717	6956
198	1724	6940
199	1730	6923
200	1737	6908
201	1744	6890
202	1751	6876
203	1757	6859
204	1764	6843
205	1775	6844
206	1789	6853
207	1802	6863
208	1812	6860
209	1825	6866
210	1835	6862
211	1844	6856
212	1855	6854
213	1865	6852
214	1873	6841
215	1882	6832
216	1889	6818
217	1899	6814
218	1907	6801
219	1915	6792
220	1923	6778
221	1932	6771
222	1939	6758
223	1947	6746
224	1956	6739
225	1963	6726
226	1970	6710
227	1978	6699
228	1989	6698
229	1998	6691
230	2007	6681
231	2016	6676
232	2028	6676
233	2036	6665
234	2046	6662
235	2057	6660
236	2065	6650
237	2074	6641
238	2082	6632
239	2090	6618
240	2097	6606
241	2104	6592
242	2112	6579
243	2118	6564
244	2125	6550
245	2131	6534
246	2138	6518
247	2144	6504
248	2151	6488
249	2157	6473
250	2164	6459
251	2171	6444
252	2179	6435
253	2187	6426
254	2197	6420
255	2208	6418
256	2216	6408
257	2227	6406
258	2238	6403
259	2248	6400
260	2260	6399
261	2268	6391
262	2278	6385
263	2285	6372
264	2293	6360
265	2299	6345
266	2306	6332
267	2313	6317
268	2319	6303
269	2326	6289
270	2332	6275
271	2340	6263
272	2346	6248
273	2353	6236
274	2360	6222
275	2366	6208
276	2373	6194
277	2381	6186
278	2391	6180
279	2401	6176
280	2412	6171
281	2422	6167
282	2431	6159
283	2441	6155
284	2453	6155
285	2462	6147
286	2473	6144
287	2480	6132
288	2487	6119
289	2493	6105
290	2501	6093
291	2507	6079
292	2513	6065
293	2520	6052
294	2527	6039
295	2533	6026
296	2540	6012
297	2547	6000
298	2553	5986
299	2559	5973
300	2567	5961
301	2573	5947
302	2580	5935
303	2589	5928
304	2599	5924
305	2607	5913
306	2616	5906
307	2624	5897
308	2634	5891
309	2643	5885
310	2654	5880
311	2664	5876
312	2673	5867
313	2681	5857
314	2689	5848
315	2697	5838
316	2703	5825
317	2710	5813
318	2717	5800
319	2723	5787
320	2730	5775
321	2736	5762
322	2743	5751
323	2750	5739
324	2757	5726
325	2763	5714
326	2770	5701
327	2777	5689
328	2783	5677
329	2790	5666
330	2800	5659
331	2811	5657
332	2820	5649
333	2830	5644
334	2840	5638
335	2850	5633
336	2861	5628
337	2873	5627
338	2881	5618
339	2891	5612
340	2898	5600
341	2905	5590
342	2912	5578
343	2919	5566
344	2925	5555
345	2932	5543
346	2939	5531
347	2945	5519
348	2952	5507
349	2959	5495
350	2965	5483
351	2972	5471
352	2978	5459
353	2985	5448
354	2992	5436
355	3000	5427
356	3012	5426
357	3024	5423
358	3034	5417
359	3044	5412
360	3055	5408
361	3065	5402
362	3074	5395
363	3083	5387
364	3093	5380
365	3100	5370
366	3106	5358
367	3113	5347
368	3121	5338
369	3128	5326
370	3135	5315
371	3141	5303
372	3148	5293
373	3155	5281
374	3161	5269
375	3168	5259
376	3175	5248
377	3183	5237
378	3189	5226
379	3197	5216
380	3206	5209
381	3218	5207
382	3226	5198
383	3238	5195
384	3247	5187
385	3255	5178
386	3263	5169
387	3271	5159
388	3280	5153
389	3290	5146
390	3298	5137
391	3304	5125
392	3312	5115
393	3319	5105
394	3326	5094
395	3333	5083
396	3339	5072
397	3347	5063
398	3354	5052
399	3361	5042
400	3367	5030
401	3374	5020
402	3381	5010
403	3390	5001
404	3399	4994
405	3408	4987
406	3416	4978
407	3428	4974
408	3438	4968
409	3455	4973
410	3468	4971
411	3481	4969
412	3495	4968
413	3502	4957
414	3510	4948
415	3516	4937
416	3523	4926
417	3530	4915
418	3537	4905
419	3543	4894
420	3550	4883
421	3558	4873
422	3566	4864
423	3575	4857
424	3585	4850
425	3593	4842
426	3602	4834
427	3616	4832
428	3627	4827
429	3638	4822
430	3647	4814
431	3658	4810
432	3669	4805
433	3679	4798
434	3689	4792
435	3698	4784
436	3708	4777
437	3714	4766
438	3721	4755
439	3728	4745
440	3735	4734
441	3741	4723
442	3747	4712
443	3754	4702
444	3761	4691
445	3768	4680
446	3775	4670
447	3782	4661
448	3789	4650
449	3796	4639
450	3803	4629
451	3815	4625
452	3823	4617
453	3834	4611
454	3844	4604
455	3853	4597
456	3862	4589
457	3872	4583
458	3883	4576
459	3891	4568
460	3902	4562
461	3910	4553
462	3918	4544
463	3925	4534
464	3933	4525
465	3940	4515
466	3947	4504
467	3953	4494
468	3960	4484
469	3966	4473
470	3973	4462
471	3980	4452
472	3987	4442
473	3995	4434
474	4002	4423
475	4012	4417
476	4021	4409
477	4033	4405
478	4045	4399
479	4053	4391
480	4065	4386
481	4075	4380
482	4087	4375
483	4097	4368
484	4104	4358
485	4114	4351
