iter	Logloss
0	0.6741874066
1	0.6584911948
2	0.6446971302
3	0.6342815534
4	0.6250810018
5	0.618111978
6	0.6118018592
7	0.6073314436
8	0.6029110941
9	0.5998225746
10	0.596416455
11	0.593770188
12	0.5917789183
13	0.589683438
14	0.5881694128
15	0.5868621053
16	0.5858470783
17	0.5847321542
18	0.583773152
19	0.5828313794
20	0.5818363859
21	0.5811662514
22	0.5805378765
23	0.5798160866
24	0.5792827289
25	0.5788120787
26	0.5782940748
27	0.5778470153
28	0.5773708346
29	0.576915241
30	0.5765885728
31	0.5763054117
32	0.575847063
33	0.5753943301
34	0.5750654735
35	0.5748333747
36	0.5745970619
37	0.5742720316
38	0.5739800653
39	0.5736666103
40	0.5735212889
41	0.5732573368
42	0.573052059
43	0.5728801088
44	0.5726523117
45	0.572443487
46	0.5722952085
47	0.5721941489
48	0.5719842869
49	0.5718470677
50	0.5716380399
51	0.5713254751
52	0.5711972025
53	0.5710761476
54	0.5708688333
55	0.5707752487
56	0.570599441
57	0.5703649739
58	0.5702145667
59	0.5700809998
60	0.5699903693
61	0.5698338248
62	0.5696093939
63	0.5694247867
64	0.5693667089
65	0.5692184368
66	0.5690685206
67	0.5689482038
68	0.5688485432
69	0.5686869223
70	0.568535735
71	0.5685061257
72	0.5682290919
73	0.5681201173
74	0.5680158122
75	0.5677804903
76	0.5676674987
77	0.5675112324
78	0.5674756663
79	0.5672949132
80	0.5671064225
81	0.5669908607
82	0.5668125717
83	0.5665283137
84	0.5663215633
85	0.5661885994
86	0.5661522232
87	0.5659905527
88	0.5659779546
89	0.5658678567
90	0.5656746548
91	0.5653462018
92	0.5651613643
93	0.5649937171
94	0.5648291124
95	0.5646100191
96	0.564404339
97	0.5642818858
98	0.5641962735
99	0.5640646834
100	0.5639338009
101	0.5637746907
102	0.5636087198
103	0.5635027525
104	0.5633412279
105	0.5632599471
106	0.5631489357
107	0.5630483095
108	0.5629219843
109	0.5626503297
110	0.5625882928
111	0.5624758338
112	0.5622887197
113	0.5621587161
114	0.5619147598
115	0.5616589462
116	0.5615135904
117	0.5613277874
118	0.5612191371
119	0.5610058512
120	0.5608256202
121	0.5606021045
122	0.5604355849
123	0.560285425
124	0.5600909635
125	0.5600386442
126	0.5599005902
127	0.5596555483
128	0.5595051183
129	0.5593083937
130	0.5590171064
131	0.5588671665
132	0.5587288378
133	0.558539681
134	0.558414091
135	0.5581110114
136	0.5577499999
137	0.5575950706
138	0.5574300768
139	0.557237647
140	0.5569900967
141	0.5568218755
142	0.5566914245
143	0.5564024727
144	0.5562486581
145	0.5560218751
146	0.5560148964
147	0.5556866271
148	0.5555249854
149	0.5552476713
150	0.5550936521
151	0.5549229832
152	0.5547461163
153	0.5545932313
154	0.5544049357
155	0.5542635055
156	0.5540929581
157	0.5539445175
158	0.5537671019
159	0.5535555547
160	0.553369253
161	0.5531407732
162	0.5528946979
163	0.5526774671
164	0.5524509937
165	0.552229627
166	0.5519516206
167	0.5517922359
168	0.5516787377
169	0.5515192854
170	0.5513066517
171	0.5510880596
172	0.5508344268
173	0.5505903365
174	0.5503713562
175	0.5501900902
176	0.5500833676
177	0.5498840145
178	0.549826573
179	0.5496026524
180	0.5494419027
181	0.5493271697
182	0.5491030472
183	0.5490444065
184	0.5488711502
185	0.5488375481
186	0.5486568447
187	0.5484427783
188	0.548184645
189	0.5479579861
190	0.5477380924
191	0.5475036657
192	0.5473941134
193	0.5472608082
194	0.5471159834
195	0.5469452221
196	0.546792659
197	0.546645191
198	0.5464822041
199	0.5463618587
200	0.5462549051
201	0.5460372837
202	0.5458845823
203	0.5457493182
204	0.5456128384
205	0.5454434169
206	0.5453162343
207	0.5451066913
208	0.5450258254
209	0.544929074
210	0.5446804728
211	0.5445046369
212	0.5443814359
213	0.5441712516
214	0.5439721136
215	0.5438114437
216	0.5436775266
217	0.5434422881
218	0.5433331643
219	0.5431240152
220	0.5430012998
221	0.5429186019
222	0.5427699157
223	0.5425077108
224	0.5423376038
225	0.5420751738
226	0.5419283798
227	0.5417703386
228	0.5416578333
229	0.5415076064
230	0.5412970644
231	0.5410530659
232	0.5409253294
233	0.5406950439
234	0.5405583846
235	0.5404335796
236	0.5402449539
237	0.5400668177
238	0.5399863129
239	0.5398114271
240	0.5396692429
241	0.5395547528
242	0.5394021475
243	0.5391568178
244	0.5389672039
245	0.538831558
246	0.5387075294
247	0.5385496156
248	0.5383939053
249	0.5381872628
250	0.538049282
251	0.537928424
252	0.5378461287
253	0.5377344275
254	0.5375993895
255	0.5374380075
256	0.5373305836
257	0.5371965283
258	0.5370333321
259	0.5368617002
260	0.5366040719
261	0.5364528973
262	0.5363858719
263	0.5363032589
264	0.5362196238
265	0.5360962394
266	0.5359576526
267	0.5357086191
268	0.5355364705
269	0.5354291027
270	0.5352211848
271	0.5350374738
272	0.5348288658
273	0.5347331236
274	0.5345913064
275	0.5343802454
276	0.5343213455
277	0.5341805234
278	0.533991526
279	0.5338615385
280	0.5337297466
281	0.5336094839
282	0.5335134795
283	0.5334138484
284	0.5332569653
285	0.5330553388
286	0.5329393623
287	0.5327945185
288	0.532562223
289	0.5323823428
290	0.532188648
291	0.531984612
292	0.5318752153
293	0.5317170545
294	0.5315831057
295	0.5314102811
296	0.5313741459
297	0.5311791323
298	0.5310677663
299	0.530877411
300	0.530765533
301	0.5305547826
302	0.5304465668
303	0.5302297313
304	0.5301018336
305	0.5298722299
306	0.5297689114
307	0.5295945029
308	0.5294336274
309	0.5293034301
310	0.5291125778
311	0.5289834524
312	0.5287610893
313	0.5286646079
314	0.5285588476
315	0.5284458364
316	0.5282642677
317	0.5280637385
318	0.5278920891
319	0.5277564957
320	0.5276990673
321	0.5275558701
322	0.5274468705
323	0.5273592502
324	0.5272216884
325	0.5270720471
326	0.5269199208
327	0.5267676712
328	0.5267241073
329	0.5265384409
330	0.5264207569
331	0.5262747376
332	0.5260882239
333	0.5259238395
334	0.5257882267
335	0.5255778286
336	0.5254602367
337	0.5253120583
338	0.5251373359
339	0.5249343207
340	0.5247233464
341	0.5245091925
342	0.5244139537
343	0.5243304853
344	0.5241653818
345	0.524068397
346	0.5239647381
347	0.5239021266
348	0.5237702176
349	0.5236954369
350	0.5234456613
351	0.5232535016
352	0.5231354876
353	0.5230152841
354	0.5228756266
355	0.5227811668
356	0.5226944924
357	0.522613976
358	0.5224590782
359	0.5223751409
360	0.5222710003
361	0.5222146917
362	0.5221683007
363	0.5220472188
364	0.5218974964
365	0.5217702593
366	0.5216143353
367	0.5214609541
368	0.5213362131
369	0.521270571
370	0.5211030949
371	0.5210168805
372	0.5208313266
373	0.5207531785
374	0.5206137078
375	0.5204325231
376	0.5203276017
377	0.5201756423
378	0.5201036674
379	0.5199688515
380	0.5198442307
381	0.5197287924
382	0.5195651765
383	0.5194899612
384	0.5192966138
385	0.5192072747
386	0.5190849347
387	0.5189681726
388	0.5187911713
389	0.5186965256
390	0.5185383807
391	0.518491375
392	0.5183706477
393	0.5181981211
394	0.5180056566
395	0.5179180914
396	0.5177496534
397	0.5175161346
398	0.5173829343
399	0.5172824457
400	0.5170973419
401	0.5168815933
402	0.5167507296
403	0.5166838102
404	0.5165948632
405	0.5164694555
406	0.5163073112
407	0.5161861644
408	0.5159159339
409	0.5157497553
410	0.5156132187
411	0.5156025344
412	0.5154187332
413	0.5153061278
414	0.5151729922
415	0.5149971514
416	0.5147852373
417	0.5146309664
418	0.5144924991
419	0.514315884
420	0.5142062796
421	0.5140784314
422	0.5139344542
423	0.5137830124
424	0.5137264191
425	0.5135516769
426	0.5133871956
427	0.5133106148
428	0.5131532199
429	0.5130459901
430	0.5129365536
431	0.5128214535
432	0.5126717417
433	0.5125759199
434	0.5123780942
435	0.5122537115
436	0.5120392213
437	0.5119536185
438	0.5118229842
439	0.5117097599
440	0.5115254965
441	0.5113978848
442	0.5112199462
443	0.5111788237
444	0.5111135731
445	0.5109952754
446	0.5108085253
