iter	Passed	Remaining
0	204	203861
1	236	118251
2	262	87378
3	277	69076
4	287	57135
5	295	48923
6	302	42966
7	308	38286
8	316	34797
9	322	31953
10	329	29603
11	335	27587
12	340	25885
13	348	24522
14	354	23301
15	361	22214
16	369	21341
17	376	20528
18	382	19774
19	389	19095
20	395	18454
21	402	17891
22	408	17361
23	415	16899
24	422	16483
25	430	16143
26	439	15835
27	450	15626
28	458	15355
29	468	15141
30	477	14922
31	485	14693
32	493	14464
33	501	14235
34	508	14008
35	518	13875
36	526	13713
37	533	13515
38	541	13352
39	548	13173
40	556	13015
41	564	12874
42	572	12735
43	579	12591
44	587	12471
45	595	12359
46	603	12229
47	612	12143
48	619	12026
49	629	11969
50	638	11885
51	648	11818
52	660	11801
53	670	11750
54	680	11692
55	691	11661
56	702	11617
57	712	11565
58	723	11545
59	731	11467
60	742	11422
61	750	11348
62	759	11294
63	767	11228
64	775	11155
65	783	11091
66	793	11056
67	802	11005
68	810	10934
69	818	10871
70	828	10834
71	839	10819
72	849	10792
73	859	10757
74	869	10728
75	879	10693
76	890	10677
77	901	10658
78	910	10616
79	921	10592
80	928	10534
81	936	10481
82	942	10414
83	949	10358
84	956	10293
85	962	10229
86	968	10166
87	974	10098
88	981	10046
89	988	9990
90	995	9940
91	1001	9879
92	1007	9826
93	1013	9770
94	1019	9713
95	1027	9671
96	1035	9636
97	1043	9605
98	1053	9587
99	1061	9556
100	1070	9527
101	1080	9515
102	1089	9487
103	1099	9470
104	1107	9442
105	1117	9427
106	1127	9411
107	1135	9382
108	1143	9351
109	1152	9328
110	1162	9308
111	1169	9269
112	1175	9229
113	1183	9196
114	1190	9163
115	1197	9129
116	1204	9091
117	1211	9055
118	1218	9018
119	1225	8983
120	1233	8957
121	1243	8945
122	1252	8927
123	1262	8918
124	1272	8906
125	1281	8889
126	1291	8879
127	1300	8859
128	1310	8846
129	1318	8825
130	1328	8810
131	1335	8781
132	1343	8758
133	1350	8727
134	1357	8701
135	1364	8668
136	1371	8640
137	1379	8616
138	1387	8596
139	1396	8576
140	1404	8557
141	1413	8538
142	1420	8513
143	1428	8489
144	1437	8474
145	1446	8460
146	1455	8447
147	1464	8429
148	1473	8418
149	1482	8399
150	1492	8389
151	1501	8377
152	1508	8352
153	1519	8345
154	1527	8329
155	1537	8320
156	1545	8298
157	1553	8276
158	1558	8244
159	1565	8220
160	1572	8194
161	1579	8168
162	1585	8143
163	1592	8118
164	1599	8093
165	1605	8065
166	1612	8045
167	1619	8021
168	1626	7997
169	1633	7975
170	1641	7957
171	1650	7947
172	1659	7931
173	1668	7920
174	1676	7904
175	1685	7893
176	1694	7878
177	1703	7866
178	1712	7855
179	1721	7843
180	1732	7838
181	1740	7821
182	1748	7806
183	1755	7784
184	1763	7768
185	1770	7748
186	1778	7731
187	1786	7714
188	1793	7695
189	1799	7673
190	1807	7653
191	1814	7636
192	1822	7622
193	1830	7603
194	1838	7587
195	1845	7572
196	1855	7562
197	1865	7554
198	1874	7545
199	1884	7537
200	1894	7531
201	1903	7520
202	1913	7514
203	1923	7504
204	1932	7494
205	1942	7487
206	1949	7469
207	1957	7451
208	1964	7435
209	1971	7417
210	1979	7400
211	1984	7378
212	1992	7361
213	1999	7343
214	2006	7324
215	2013	7307
216	2020	7290
217	2028	7275
218	2036	7262
219	2045	7251
220	2055	7245
221	2064	7235
222	2075	7231
223	2085	7225
224	2095	7216
225	2106	7212
226	2115	7203
227	2125	7197
228	2135	7188
229	2144	7177
230	2151	7161
231	2158	7146
232	2165	7129
233	2173	7113
234	2180	7096
235	2186	7078
236	2193	7060
237	2200	7044
238	2207	7028
239	2214	7011
240	2221	6995
241	2228	6978
242	2237	6970
243	2247	6962
244	2256	6952
245	2265	6943
246	2274	6935
247	2285	6931
248	2294	6921
249	2304	6913
250	2313	6902
251	2322	6893
252	2332	6886
253	2339	6871
254	2346	6856
255	2353	6840
256	2360	6824
257	2367	6810
258	2374	6794
259	2380	6775
260	2387	6759
261	2394	6744
262	2401	6729
263	2408	6713
264	2415	6699
265	2422	6684
266	2430	6673
267	2439	6662
268	2449	6657
269	2460	6653
270	2473	6653
271	2486	6655
272	2498	6654
273	2508	6645
274	2518	6638
275	2528	6633
276	2537	6622
277	2545	6611
278	2552	6596
279	2560	6582
280	2566	6568
281	2573	6552
282	2580	6537
283	2587	6523
284	2594	6508
285	2601	6494
286	2608	6480
287	2615	6465
288	2622	6450
289	2628	6435
290	2637	6425
291	2646	6415
292	2655	6408
293	2664	6397
294	2673	6390
295	2682	6380
296	2693	6374
297	2701	6363
298	2710	6355
299	2719	6344
300	2728	6336
301	2738	6328
302	2745	6314
303	2751	6299
304	2758	6286
305	2765	6271
306	2772	6258
307	2779	6244
308	2786	6230
309	2793	6216
310	2800	6204
311	2807	6190
312	2814	6176
313	2821	6163
314	2827	6149
315	2836	6140
316	2845	6131
317	2856	6125
318	2864	6115
319	2874	6107
320	2883	6098
321	2892	6090
322	2903	6086
323	2913	6079
324	2923	6072
325	2934	6066
326	2942	6055
327	2951	6047
328	2959	6036
329	2968	6026
330	2976	6015
331	2984	6005
332	2992	5994
333	3000	5983
334	3007	5970
335	3016	5960
336	3023	5949
337	3032	5940
338	3041	5931
339	3051	5924
340	3061	5915
341	3070	5908
342	3082	5903
343	3090	5894
344	3101	5888
345	3112	5882
346	3122	5875
347	3132	5868
348	3140	5858
349	3149	5849
350	3157	5838
351	3165	5828
352	3173	5817
353	3180	5804
354	3187	5791
355	3194	5779
356	3201	5766
357	3208	5753
358	3215	5740
359	3222	5728
360	3230	5718
361	3238	5708
362	3247	5699
363	3257	5692
364	3266	5682
365	3276	5675
366	3285	5666
367	3296	5660
368	3305	5653
369	3315	5644
370	3325	5637
371	3332	5625
372	3339	5613
373	3346	5601
374	3353	5588
375	3360	5577
376	3367	5564
377	3373	5551
378	3380	5538
379	3387	5526
380	3393	5513
381	3400	5501
382	3407	5489
383	3414	5476
384	3421	5464
385	3427	5452
386	3435	5442
387	3443	5432
388	3452	5423
389	3462	5415
390	3472	5408
391	3480	5398
392	3490	5391
393	3499	5381
394	3508	5374
395	3518	5366
396	3527	5358
397	3538	5351
398	3544	5339
399	3552	5329
400	3559	5317
401	3566	5305
402	3573	5293
403	3580	5282
404	3587	5270
405	3594	5258
406	3601	5246
407	3607	5234
408	3613	5221
409	3620	5210
410	3627	5198
411	3634	5186
412	3642	5177
413	3651	5169
414	3660	5159
415	3669	5151
416	3678	5143
417	3688	5135
418	3698	5128
419	3706	5119
420	3715	5109
421	3723	5099
422	3732	5091
423	3741	5082
424	3749	5072
425	3755	5060
426	3763	5049
427	3769	5038
428	3777	5027
429	3784	5016
430	3791	5005
431	3798	4994
432	3804	4982
433	3856	5029
434	3879	5039
435	3890	5032
436	3902	5028
437	3913	5021
438	3921	5011
439	3931	5003
440	3939	4994
441	3948	4985
442	3955	4973
443	3963	4963
444	3969	4951
445	3977	4940
446	3984	4928
447	3991	4917
448	3997	4905
449	4004	4893
450	4010	4882
451	4017	4870
452	4024	4859
453	4031	4848
454	4037	4836
455	4043	4824
456	4050	4812
457	4058	4802
458	4066	4792
459	4075	4784
460	4084	4775
461	4093	4767
462	4104	4760
463	4113	4751
464	4123	4744
465	4133	4736
466	4143	4729
467	4154	4722
468	4163	4714
469	4172	4705
470	4179	4693
471	4185	4682
472	4192	4671
473	4199	4659
474	4205	4648
475	4213	4638
476	4220	4627
477	4226	4615
478	4233	4604
479	4249	4603
480	4267	4604
481	4280	4600
482	4298	4601
483	4317	4602
484	4334	4602
485	4353	4604
486	4371	4604
487	4387	4603
488	4404	4602
489	4419	4600
490	4436	4598
491	4452	4597
492	4472	4599
493	4491	4600
494	4509	4600
495	4528	4601
496	4547	4602
497	4567	4603
498	4584	4602
499	4600	4600
500	4617	4598
501	4633	4597
502	4650	4594
503	4668	4594
504	4687	4594
505	4705	4593
506	4723	4593
507	4742	4593
508	4761	4593
509	4779	4592
510	4796	4589
511	4813	4587
512	4829	4584
513	4846	4582
514	4862	4579
515	4879	4577
516	4897	4575
517	4916	4575
518	4935	4573
519	4952	4571
520	4971	4570
521	4988	4568
522	5005	4564
523	5021	4561
524	5037	4557
525	5052	4553
526	5069	4549
527	5086	4547
528	5105	4545
529	5123	4543
530	5141	4541
531	5159	4539
532	5176	4535
533	5194	4532
534	5211	4529
535	5228	4526
536	5245	4522
537	5258	4515
538	5272	4509
539	5288	4505
540	5307	4503
541	5325	4500
542	5344	4498
543	5362	4494
544	5379	4491
545	5397	4488
546	5414	4484
547	5430	4478
548	5446	4474
549	5462	4469
550	5478	4464
551	5496	4460
552	5514	4457
553	5533	4454
554	5552	4451
555	5569	4447
556	5590	4446
557	5607	4441
558	5623	4436
559	5640	4431
560	5657	4426
561	5674	4422
562	5691	4417
563	5709	4413
564	5728	4410
565	5748	4407
566	5766	4403
567	5785	4400
568	5804	4396
569	5821	4391
570	5837	4386
571	5854	4380
572	5870	4374
573	5887	4369
574	5904	4364
575	5922	4359
576	5940	4355
577	5958	4350
578	5977	4346
579	5997	4342
580	6014	4337
581	6031	4331
582	6047	4325
583	6063	4319
584	6080	4313
585	6096	4306
586	6113	4301
587	6132	4296
588	6151	4292
589	6170	4287
590	6189	4283
591	6208	4278
592	6224	4272
593	6238	4263
594	6251	4255
595	6268	4248
596	6284	4242
597	6300	4235
598	6318	4229
599	6336	4224
600	6353	4217
601	6371	4212
602	6390	4207
603	6408	4201
604	6420	4192
605	6430	4180
606	6445	4173
607	6461	4166
608	6477	4159
609	6494	4152
610	6510	4145
611	6528	4138
612	6547	4133
613	6565	4127
614	6584	4121
615	6600	4114
616	6619	4108
617	6638	4103
618	6656	4096
619	6671	4088
620	6687	4081
621	6704	4074
622	6721	4067
623	6740	4061
624	6758	4054
625	6776	4048
626	6796	4043
627	6814	4036
628	6832	4029
629	6850	4023
630	6866	4015
631	6882	4007
632	6899	4000
633	6914	3991
634	6930	3983
635	6947	3976
636	6966	3970
637	6984	3963
638	7003	3956
639	7021	3949
640	7039	3942
641	7058	3935
642	7074	3928
643	7091	3919
644	7107	3911
645	7123	3903
646	7140	3895
647	7157	3888
648	7176	3881
649	7196	3875
650	7214	3867
651	7232	3860
652	7251	3853
653	7269	3846
654	7286	3838
655	7305	3831
656	7322	3823
657	7338	3814
658	7354	3805
659	7373	3798
660	7392	3791
661	7411	3784
662	7430	3777
663	7449	3769
664	7467	3761
665	7483	3753
666	7498	3743
667	7514	3734
668	7531	3726
669	7547	3717
670	7564	3709
671	7582	3701
672	7601	3693
673	7620	3685
674	7639	3678
675	7658	3670
676	7676	3662
677	7694	3654
678	7724	3651
679	7742	3643
680	7756	3633
681	7775	3625
682	7794	3617
683	7811	3608
684	7830	3600
685	7848	3592
686	7866	3584
687	7885	3575
688	7902	3567
689	7919	3557
690	7936	3549
